id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM1-154,newMachine,1764699195278,1764699203877,1764699205277,8599,1400
nM1-155,newMachine,1764699195278,1764699203879,1764699205277,8601,1398
nM1-156,newMachine,1764699195278,1764699203881,1764699205277,8603,1396
nM1-157,newMachine,1764699195278,1764699203884,1764699205277,8606,1393
nM1-158,newMachine,1764699195278,1764699203898,1764699205277,8620,1379
nM1-159,newMachine,1764699195278,1764699203898,1764699205277,8620,1379
nM1-160,newMachine,1764699195278,1764699203898,1764699205277,8620,1379
nM1-161,newMachine,1764699195278,1764699203899,1764699205277,8621,1378
nM1-162,newMachine,1764699195278,1764699203899,1764699205277,8621,1378
nM1-163,newMachine,1764699195278,1764699203900,1764699205277,8622,1377
nM1-164,newMachine,1764699195278,1764699203901,1764699205277,8623,1376
nM1-165,newMachine,1764699195278,1764699203901,1764699205277,8623,1376
nM1-166,newMachine,1764699195278,1764699203902,1764699205277,8624,1375
nM1-167,newMachine,1764699195278,1764699203903,1764699205277,8625,1374
nM1-168,newMachine,1764699195278,1764699203906,1764699205277,8628,1371
nM3-169,newMachine,1764699235778,1764699249328,1764699250780,13550,1452
nM3-170,newMachine,1764699235778,1764699249328,1764699250780,13550,1452
nM3-171,newMachine,1764699235778,1764699249329,1764699250780,13551,1451
nM3-172,newMachine,1764699235778,1764699249331,1764699250780,13553,1449
nM3-173,newMachine,1764699235778,1764699249333,1764699250780,13555,1447
nM3-174,newMachine,1764699235778,1764699249341,1764699250780,13563,1439
nM3-175,newMachine,1764699235778,1764699249343,1764699250780,13565,1437
nM3-176,newMachine,1764699235778,1764699249353,1764699250780,13575,1427
nM3-177,newMachine,1764699235778,1764699249355,1764699250780,13577,1425
nM3-178,newMachine,1764699235778,1764699249355,1764699250780,13577,1425
nM3-179,newMachine,1764699235778,1764699249356,1764699250780,13578,1424
nM3-180,newMachine,1764699235778,1764699249357,1764699250780,13579,1423
nM3-181,newMachine,1764699235778,1764699249361,1764699250780,13583,1419
nM3-182,newMachine,1764699235778,1764699249361,1764699250780,13583,1419
nM3-183,newMachine,1764699235778,1764699249362,1764699250780,13584,1418
mF4-003,machineFailure,1764699304822,1764699305883,1764699307889,1061,2006
sA-012,storageAlert,1764699509729,1764699513557,1764699513560,3828,3
nM2-184,newMachine,1764699524992,1764699536854,1764699539992,11862,3138
nM2-185,newMachine,1764699524992,1764699536855,1764699539992,11863,3137
nM2-186,newMachine,1764699524992,1764699536856,1764699539992,11864,3136
nM2-187,newMachine,1764699615944,1764699626855,1764699630944,10911,4089
